1277	5662	I have to go to sleep.	Tôi phải đi ngủ.
1277	12528551	I have to go to sleep.	Tôi phải đi ngủ
1284	8974632	I will be back soon.	Tôi sẽ quay lại sớm thôi.
1284	9554239	I will be back soon.	Tôi sẽ sớm trở lại
1284	8974631	I will be back soon.	Tôi sẽ quay lại sớm.
1286	5671	I'm at a loss for words.	Tôi hết lời để nói.
1286	9554240	I'm at a loss for words.	tôi không nói lên lời
1286	3481583	I'm at a loss for words.	Tôi không biết nói gì.
1286	8974609	I'm at a loss for words.	Tôi không còn gì để nói cả.
1287	9554241	This is never going to end.	điều này sẽ không bao giờ kết thúc
1287	8974611	This is never going to end.	Điều này sẽ chẳng bao giờ kết thúc.
1287	12528552	This is never going to end.	Điều này chưa bao giờ đi đến kết thúc
1287	8974606	This is never going to end.	Điều này sẽ không bao giờ chấm dứt.
1288	12528553	I just don't know what to say.	Tôi chưa biết gì để nói
1288	9554243	I just don't know what to say.	tôi chỉ không biết nói gì
1288	5673	I just don't know what to say.	Tôi không biết nên nói gì cả...
1289	5674	That was an evil bunny.	Đó là một con thỏ hung ác.
1290	12528554	I was in the mountains.	Tôi đã ở trên núi
1290	5675	I was in the mountains.	Tôi từ trên núi xuống.
1291	5676	Is it a recent picture?	Tấm hình này có mới không?
1291	3481931	Is it a recent picture?	Nó có phải là tấm hình mới chụp không?
1291	12528555	Is it a recent picture?	Nó là bức ảnh gần đây đúng không
1292	12528559	I don't know if I have the time.	Tôi không biết liệu tôi có thời gian
1296	12528560	You are in my way.	Bạn ở trên con đường của tôi
1298	3549794	This will cost €30.	Việc này sẽ tốn €30.
1298	3549795	This will cost €30.	Thứ này sẽ tốn €30.
1298	3549793	This will cost €30.	Cái này sẽ tốn €30.
1299	3549780	I make €100 a day.	Tôi kiếm được 100 euro một ngày.
1301	3549779	It's because you don't want to be alone.	Đó là vì bạn không muốn đơn độc.
1304	5679	I'll do my best not to disturb your studying.	Tôi sẽ cố không quấy rầy bạn học hành.
1309	12528569	I'll call them tomorrow when I come back.	Tôi sẽ gọi họ vào ngày mai khi tôi quay trở lại
1312	12528571	I'm going to go.	Tôi sẽ đi ngủ
